ID,ESTACION,FECHA,HORA,LONGITUD,LATITUD,ALTITUD,PM10,PM2_5,NO2,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,FECHA_CORTE
43,SAN_BORJA,20150102,230000,-77.0077,-12.1086,128,,8,,LIMA,LIMA,SAN_BORJA,150130,20240430
44,SAN_BORJA,20150103,000000,-77.0077,-12.1086,128,,13.6,,LIMA,LIMA,SAN_BORJA,150130,20240430
45,SAN_BORJA,20150103,010000,-77.0077,-12.1086,128,,11.6,,LIMA,LIMA,SAN_BORJA,150130,20240430
46,SAN_BORJA,20150103,020000,-77.0077,-12.1086,128,,20,,LIMA,LIMA,SAN_BORJA,150130,20240430
47,SAN_BORJA,20150103,030000,-77.0077,-12.1086,128,,13.8,,LIMA,LIMA,SAN_BORJA,150130,20240430
48,SAN_BORJA,20150103,040000,-77.0077,-12.1086,128,,15.2,,LIMA,LIMA,SAN_BORJA,150130,20240430
49,SAN_BORJA,20150103,050000,-77.0077,-12.1086,128,,5.1,,LIMA,LIMA,SAN_BORJA,150130,20240430
50,SAN_BORJA,20150103,060000,-77.0077,-12.1086,128,,8.9,,LIMA,LIMA,SAN_BORJA,150130,20240430
51,SAN_BORJA,20150103,070000,-77.0077,-12.1086,128,,15.3,,LIMA,LIMA,SAN_BORJA,150130,20240430
52,SAN_BORJA,20150103,080000,-77.0077,-12.1086,128,,4.2,,LIMA,LIMA,SAN_BORJA,150130,20240430
53,SAN_BORJA,20150103,090000,-77.0077,-12.1086,128,,14.4,,LIMA,LIMA,SAN_BORJA,150130,20240430
54,SAN_BORJA,20150103,100000,-77.0077,-12.1086,128,,17.4,,LIMA,LIMA,SAN_BORJA,150130,20240430
55,SAN_BORJA,20150103,110000,-77.0077,-12.1086,128,,8.3,,LIMA,LIMA,SAN_BORJA,150130,20240430
56,SAN_BORJA,20150103,120000,-77.0077,-12.1086,128,,13.6,,LIMA,LIMA,SAN_BORJA,150130,20240430
57,SAN_BORJA,20150103,130000,-77.0077,-12.1086,128,,14.1,,LIMA,LIMA,SAN_BORJA,150130,20240430
58,SAN_BORJA,20150103,140000,-77.0077,-12.1086,128,,7.4,,LIMA,LIMA,SAN_BORJA,150130,20240430
59,SAN_BORJA,20150103,150000,-77.0077,-12.1086,128,,12.6,,LIMA,LIMA,SAN_BORJA,150130,20240430
60,SAN_BORJA,20150103,160000,-77.0077,-12.1086,128,,33.2,,LIMA,LIMA,SAN_BORJA,150130,20240430
